Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
1,Diagnosis,4,last_diagnosis,"Latest ""clinical"" diagnosis",string,nullable,"[""Idiopathic PD"", ""Alzheimer's disease"", ""Frontotemporal dementia"", ""Corticobasal syndrome"", ""Dementia with Lewy bodies"", ""Dopa-responsive dystonia"", ""Essential tremor"", ""Hemiparkinson/hemiatrophy syndrome"", ""Juvenile autosomal recessive parkinsonism"", ""Motor neuron disease with parkinsonism"", ""Multiple system atrophy"", ""Neuroleptic-induced parkinsonism"", ""Normal pressure hydrocephalus"", ""Progressive supranuclear palsy"", ""Psychogenic parkinsonism"", ""Vascular parkinsonism"", ""No PD nor other neurological disorder"", ""Spinocerebellar Ataxia (SCA)"", ""Prodromal non-motor PD"", ""Prodromal motor PD"", ""Other neurological disorder""]",
1,Diagnosis,5,path_diagnosis,Pathologically confirmed diagnosis,string,nullable,"[""Idiopathic PD"", ""Alzheimer's disease"", ""Frontotemporal dementia"", ""Corticobasal syndrome"", ""Dementia with Lewy bodies"", ""Dopa-responsive dystonia"", ""Essential tremor"", ""Hemiparkinson/hemiatrophy syndrome"", ""Juvenile autosomal recessive parkinsonism"", ""Motor neuron disease with parkinsonism"", ""Multiple system atrophy"", ""Neuroleptic-induced parkinsonism"", ""Normal pressure hydrocephalus"", ""Progressive supranuclear palsy"", ""Psychogenic parkinsonism"", ""Vascular parkinsonism"", ""No PD nor other neurological disorder"", ""Spinocerebellar Ataxia (SCA)"", ""Prodromal non-motor PD"", ""Prodromal motor PD"", ""Other neurological disorder""]",
1,Diagnosis,6,visit_month_of_last_diagnosis,Months from the baseline to the visit confirming the latest diagnosis (or the date of death when path confirmed),numeric,nullable,(y>=-1200) & (y<=1200),
1,Diagnosis,7,diagnosis_change,Had the diagnosis changed during the follow-up? (Mostly important for prodromal cohorts),string,nullable,"[""Yes"", ""No""]",
1,Diagnosis,8,visit_month_diagnosis_change,Months from the baseline to the change of diagnosis (to the latest diagnosis),numeric,nullable,(y>=-1200) & (y<=1200),
1,Diagnosis,9,criteria_for_inclusion,"Which diagnostic tool (e.g. path confirmation, MDS criteria, QSBB criteria) was used as criteria for inclusion? ",string,nullable,,
1,Diagnosis,10,code_last_diagnosis_confidence,What is your percent confidence in your most likely last diagnosis?,string,nullable,"[""0-25%"",  ""26-50%"",  ""51-75%"", ""76-100%""]",
1,Diagnosis,11,handedness,Right handedness or left handedness?,string,nullable,"[""Right"", ""Left"", ""Mixed""]",
1,Diagnosis,12,dominant_side,Side predominantly affected at onset,string,nullable,"[""Right"", ""Left"", ""Symmetric""]",
0,Diagnosis,13,levodopa_best_response_pct,Best ever patient-reported response to levodopa (%: 0-100),string,nullable,"[""0-25%"",  ""26-50%"",  ""51-75%"", ""76-100%""]",
1,Known_relatedness,1,related_individuals_reported,"{id: relationship). e.g. {""id-011"": ""Mother"", ""id-012"":""Father"", ""id-019"":Full-sibling}",string,nullable,,
0,Vital,1,weight_kg,in kg,numeric,nullable,(y>=20) & (y<=225),
0,Vital,1,height_cm,in cm,numeric,nullable,(y>=100) & (y<=220),
0,Vital,1,BMI,,numeric,nullable,(y>=10) & (y<=75),
0,Vital,1,heart_rate,per minute,numeric,nullable,(y>=35) & (y<=200),
0,Vital,1,systolic_blood_pressure,"in mmHg (use only if no information is given on sitting, standing, or supine positioning)",numeric,nullable,(y>=50) & (y<=250),
0,Vital,1,diastolic_blood_pressure,"in mmHg (use only if no information is given on sitting, standing, or supine positioning)",numeric,nullable,(y>=30) & (y<=250),
1,MDS_Diagnostic_criteria,1,dx_essential_bradykinesia,essential criterion: required,string,nullable,"[""Yes"", ""No""]","DXBRADY->{""0"":""No"", ""1"":""Yes"", ""Unknown"":pd.na()}"
1,MDS_Diagnostic_criteria,2,dx_essential_rest_tremor,essential criterion: either rest_tremor or rigidity required,string,nullable,"[""Yes"", ""No""]","DXTREMOR->{""0"":""No"", ""1"":""Yes"", ""Unknown"":pd.na()}"
1,MDS_Diagnostic_criteria,3,dx_essential_rigidity,essential criterion: either rest_tremor or rigidity required,string,nullable,"[""Yes"", ""No""]","DXRIGID->{""0"":""No"", ""1"":""Yes"", ""Unknown"":pd.na()}"
1,MDS_Diagnostic_criteria,4,dx_supportive_1_positive_drug_response,"1. Clear and dramatic beneficial response to dopaminergic therapy. During initial treatment, patient returned to normal or near-normal level of function. In the absence of clear documentation of initial response a dramatic response can be classified as:
a) Marked improvement with dose increases or marked worsening with dose decreases. Mild changes do not qualify. Document this either objectively (>30% in UPDRS III with change in treatment), or subjectively (clearly-documented history of marked changes from a reliable patient or caregiver).
b) Unequivocal and marked on/off fluctuations, which must have at some point included predictable end-of-dose wearing off.",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,5,dx_supportive_2_levodopa_induced_dyskinesia,2. Presence of levodopa-induced dyskinesia,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,6,dx_supportive_3_rest_tremor,"3. Rest tremor of a limb, documented on clinical examination (in past, or on current examination)",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,7,dx_supportive_4_olfactory_loss_or_MIBG,4. The presence of either olfactory loss or cardiac sympathetic denervation on MIBG scintigraphy,string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,8,dx_exclusion_1_cerebellar_signs,"1. Unequivocal cerebellar abnormalities, such as cerebellar gait, limb ataxia, or cerebellar oculomotor abnormalities (eg, sustained gaze evoked nystagmus, macro square wave jerks, hypermetric saccades)",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,9,dx_exclusion_2_abnormal_eye_movement,"2. Downward vertical supranuclear gaze palsy, or selective slowing of downward vertical saccades",string,nullable,"[""Yes"", ""No""]",
1,MDS_Diagnostic_criteria,10,dx_exclusion_3_FTD_5y,"3. Diagnosis of probable behavioral variant frontotemporal dementia or primary progressive aphasia, defined according to consensus criteria within the first 5 y of disease",string,nullable,"[""Yes"", ""No""]",
